NOC,Year,Sport,sport_num_athletes,sport_medal_gold,sport_medal_silver,sport_medal_bronze,sport_num_female_athletes,sport_num_male_athletes,num_games_sports_each_year,rank_country_year,total_gold_country_year,total_silver_country_year,total_bronze_country_year,total_medal_country_year,total_athelete_country_year,host_status,future_host_status
Denmark,1896,Gymnastics,1,0,0,0,0,1,8,9,1,2,3,6,3,0,0
Hungary,1896,Athletics,3,0,1,2,0,3,12,6,2,1,3,6,7,0,0
Denmark,1896,Athletics,3,0,0,0,0,3,12,9,1,2,3,6,3,0,0
France,1896,Shooting,1,0,0,0,0,1,5,4,5,4,2,11,12,0,1
France,1896,Gymnastics,1,0,0,0,0,1,8,4,5,4,2,11,12,0,1
France,1896,Fencing,4,1,2,0,0,4,3,4,5,4,2,11,12,0,1
France,1896,Cycling,2,4,1,1,0,2,6,4,5,4,2,11,12,0,1
France,1896,Athletics,5,0,1,1,0,5,12,4,5,4,2,11,12,0,1
United States,1896,Athletics,10,9,6,2,0,10,12,1,11,7,2,20,14,0,0
France,1896,Tennis,1,0,0,0,0,1,2,4,5,4,2,11,12,0,1
United Kingdom,1896,Wrestling,1,0,0,0,0,1,1,5,2,3,2,7,0,0,0
United Kingdom,1896,Gymnastics,1,0,0,0,0,1,8,5,2,3,2,7,0,0,0
Switzerland,1896,Shooting,1,0,0,0,0,1,5,10,1,2,0,3,3,0,0
Germany,1896,Cycling,5,0,1,0,0,5,6,3,6,5,2,13,19,0,0
Germany,1896,Gymnastics,11,23,3,2,0,11,8,3,6,5,2,13,19,0,0
United States,1896,Swimming,1,0,0,0,0,1,0,1,11,7,2,20,14,0,0
Germany,1896,Tennis,1,1,0,0,0,1,2,3,6,5,2,13,19,0,0
Germany,1896,Weightlifting,1,0,0,0,0,1,2,3,6,5,2,13,19,0,0
Australia,1896,Athletics,1,2,0,0,0,1,12,8,2,0,0,2,1,0,0
Greece,1896,Cycling,9,1,3,0,0,9,6,2,10,18,19,47,102,1,0
Australia,1896,Tennis,1,0,0,1,0,1,2,8,2,0,0,2,1,0,0
Sweden,1896,Gymnastics,1,0,0,0,0,1,8,0,0,0,0,0,1,0,0
Germany,1896,Athletics,5,0,1,0,0,5,12,3,6,5,2,13,19,0,0
Sweden,1896,Athletics,1,0,0,0,0,1,12,0,0,0,0,0,1,0,0
Germany,1896,Wrestling,1,1,0,0,0,1,1,3,6,5,2,13,19,0,0
Switzerland,1896,Gymnastics,2,1,2,0,0,2,8,10,1,2,0,3,3,0,0
Italy,1896,Shooting,1,0,0,0,0,1,5,0,0,0,0,0,1,0,0
Greece,1896,Athletics,30,1,3,6,0,30,12,2,10,18,19,47,102,1,0
Russia,1900,Fencing,2,0,0,0,0,2,7,0,0,0,0,0,4,0,0
Russia,1900,Equestrianism,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0
Switzerland,1900,Sailing,3,3,3,0,1,2,13,6,6,2,1,9,18,0,0
Canada,1900,Athletics,4,1,0,1,0,4,23,13,1,0,1,2,4,0,0
Germany,1900,Gymnastics,14,0,0,0,0,14,1,7,4,3,2,9,76,0,0
Luxembourg,1900,Athletics,1,1,0,0,0,1,23,14,1,0,0,1,1,0,0
Germany,1900,Equestrianism,1,0,0,0,0,1,0,7,4,3,2,9,76,0,0
Germany,1900,Cycling,3,0,1,0,0,3,3,7,4,3,2,9,76,0,0
Germany,1900,Athletics,6,0,0,0,0,6,23,7,4,3,2,9,76,0,0
Italy,1900,Swimming,2,0,0,0,0,2,0,8,3,2,0,5,23,0,0
India,1900,Athletics,1,0,2,0,0,1,23,19,0,2,0,2,1,0,0
Germany,1900,Fencing,1,0,0,0,0,1,7,7,4,3,2,9,76,0,0
Mexico,1900,Polo,1,0,0,3,0,1,1,0,0,0,0,0,1,0,0
Haiti,1900,Fencing,2,0,0,0,0,2,7,0,0,0,0,0,3,0,0
Germany,1900,Water Polo,7,0,0,0,0,7,0,7,4,3,2,9,76,0,0
Germany,1900,Swimming,6,5,0,0,0,6,0,7,4,3,2,9,76,0,0
Germany,1900,Sailing,5,4,4,0,0,5,13,7,4,3,2,9,76,0,0
Austria,1900,Athletics,2,0,0,0,0,2,23,16,0,3,3,6,16,0,0
Austria,1900,Equestrianism,2,0,0,0,0,2,0,16,0,3,3,6,16,0,0
Austria,1900,Fencing,8,0,0,2,0,8,7,16,0,3,3,6,16,0,0
Austria,1900,Swimming,4,0,3,1,0,4,0,16,0,3,3,6,16,0,0
Brazil,1900,Athletics,1,0,0,0,0,1,23,0,0,0,0,0,1,0,0
United States,1900,Rugby,1,1,0,0,0,1,1,2,19,14,15,48,75,0,1
United States,1900,Sailing,2,0,0,2,0,2,13,2,19,14,15,48,75,0,1
United States,1900,Swimming,1,0,0,0,0,1,0,2,19,14,15,48,75,0,1
United States,1900,Tennis,5,0,1,2,2,3,4,2,19,14,15,48,75,0,1
Denmark,1900,Tug-Of-War,3,3,0,0,0,3,0,10,1,3,2,6,13,0,0
Denmark,1900,Swimming,1,0,0,1,0,1,0,10,1,3,2,6,13,0,0
Denmark,1900,Shooting,5,1,3,0,0,5,8,10,1,3,2,6,13,0,0
Denmark,1900,Fencing,1,0,0,0,0,1,7,10,1,3,2,6,13,0,0
Denmark,1900,Athletics,4,0,0,1,0,4,23,10,1,3,2,6,13,0,0
Germany,1900,Rugby,15,0,15,0,0,15,1,7,4,3,2,9,76,0,0
Germany,1900,Rowing,21,5,0,11,0,21,5,7,4,3,2,9,76,0,0
Romania,1900,Shooting,1,0,0,0,0,1,8,0,0,0,0,0,1,0,0
Haiti,1900,Rugby,1,1,0,0,0,1,1,0,0,0,0,0,3,0,0
Italy,1900,Gymnastics,1,0,0,0,0,1,1,8,3,2,0,5,23,0,0
Italy,1900,Fencing,8,1,1,0,0,8,7,8,3,2,0,5,23,0,0
Italy,1900,Cycling,7,1,0,0,0,7,3,8,3,2,0,5,23,0,0
Belgium,1900,Water Polo,11,0,10,0,0,11,0,5,6,7,4,17,64,0,0
United Kingdom,1900,Gymnastics,4,0,0,0,0,4,1,3,15,7,9,31,0,0,0
United Kingdom,1900,Polo,6,3,2,1,0,6,1,3,15,7,9,31,0,0,0
United Kingdom,1900,Rowing,1,0,0,1,0,1,5,3,15,7,9,31,0,0,0
United Kingdom,1900,Rugby,15,0,15,0,0,15,1,3,15,7,9,31,0,0,0
United Kingdom,1900,Sailing,10,12,1,1,0,10,13,3,15,7,9,31,0,0,0
United Kingdom,1900,Shooting,1,0,0,0,0,1,8,3,15,7,9,31,0,0,0
United Kingdom,1900,Swimming,7,2,0,1,0,7,0,3,15,7,9,31,0,0,0
United Kingdom,1900,Golf,5,0,1,1,0,5,2,3,15,7,9,31,0,0,0
United Kingdom,1900,Tennis,6,6,2,6,1,5,4,3,15,7,9,31,0,0,0
Peru,1900,Fencing,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0
Argentina,1900,Fencing,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0
Spain,1900,Rowing,5,0,0,0,0,5,5,14,1,0,0,1,9,0,0
Spain,1900,Fencing,1,0,0,0,0,1,7,14,1,0,0,1,9,0,0
Spain,1900,Equestrianism,1,0,0,0,0,1,0,14,1,0,0,1,9,0,0
Spain,1900,Basque Pelota,2,2,0,0,0,2,1,14,1,0,0,1,9,0,0
Switzerland,1900,Shooting,9,13,1,1,0,9,8,6,6,2,1,9,18,0,0
United Kingdom,1900,Water Polo,7,6,0,1,0,7,0,3,15,7,9,31,0,0,0
United Kingdom,1900,Football,12,11,0,1,0,12,1,3,15,7,9,31,0,0,0
United Kingdom,1900,Fencing,3,0,0,0,0,3,7,3,15,7,9,31,0,0,0
United Kingdom,1900,Equestrianism,1,0,0,0,0,1,0,3,15,7,9,31,0,0,0
Belgium,1900,Swimming,1,0,0,0,0,1,0,5,6,7,4,17,64,0,0
Belgium,1900,Rowing,9,0,9,0,0,9,5,5,6,7,4,17,64,0,0
Belgium,1900,Gymnastics,2,0,0,0,0,2,1,5,6,7,4,17,64,0,0
Belgium,1900,Football,9,0,0,9,0,9,1,5,6,7,4,17,64,0,0
Italy,1900,Athletics,2,0,0,0,0,2,23,8,3,2,0,5,23,0,0
Iran,1900,Fencing,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0
Belgium,1900,Fencing,5,0,0,0,0,5,7,5,6,7,4,17,64,0,0
Belgium,1900,Equestrianism,11,3,1,1,0,11,0,5,6,7,4,17,64,0,0
Belgium,1900,Cycling,1,0,0,0,0,1,3,5,6,7,4,17,64,0,0
Belgium,1900,Archery,4,3,3,1,0,4,7,5,6,7,4,17,64,0,0
Cuba,1900,Fencing,1,1,1,0,0,1,7,12,1,1,0,2,1,0,0
New Zealand,1900,Water Polo,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Switzerland,1900,Fencing,3,0,0,0,0,3,7,6,6,2,1,9,18,0,0
Switzerland,1900,Gymnastics,3,0,0,0,0,3,1,6,6,2,1,9,18,0,0
United Kingdom,1900,Athletics,10,7,3,2,0,10,23,3,15,7,9,31,0,0,0
United Kingdom,1900,Cricket,21,12,9,0,0,21,1,3,15,7,9,31,0,0,0
United Kingdom,1900,Cycling,1,0,1,0,0,1,3,3,15,7,9,31,0,0,0
Italy,1900,Equestrianism,3,1,1,0,1,2,0,8,3,2,0,5,23,0,0
Colombia,1900,Tug-Of-War,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Belgium,1900,Shooting,11,0,1,2,0,11,8,5,6,7,4,17,64,0,0
Hungary,1900,Athletics,9,1,0,1,0,9,23,11,1,2,2,5,18,0,0
France,1900,Football,13,0,13,0,0,13,1,1,27,39,37,103,715,1,0
France,1900,Fencing,209,5,5,5,0,209,7,1,27,39,37,103,715,1,0
France,1900,Equestrianism,37,2,2,4,1,36,0,1,27,39,37,103,715,1,0
Australia,1900,Swimming,1,2,0,0,0,1,0,9,2,0,3,5,2,0,0
Australia,1900,Athletics,1,1,0,3,0,1,23,9,2,0,3,5,2,0,0
United States,1900,Cycling,1,0,0,1,0,1,3,2,19,14,15,48,75,0,1
United States,1900,Athletics,41,16,13,10,0,41,23,2,19,14,15,48,75,0,1
France,1900,Croquet,10,4,2,2,3,7,3,1,27,39,37,103,715,1,0
France,1900,Cricket,3,0,3,0,0,3,1,1,27,39,37,103,715,1,0
France,1900,Athletics,21,0,8,2,0,21,23,1,27,39,37,103,715,1,0
Netherlands,1900,Swimming,4,0,0,1,0,4,0,17,0,2,3,5,35,0,0
Netherlands,1900,Shooting,7,0,0,5,0,7,8,17,0,2,3,5,35,0,0
France,1900,Archery,13,4,5,4,0,13,7,1,27,39,37,103,715,1,0
Netherlands,1900,Sailing,3,0,3,0,0,3,13,17,0,2,3,5,35,0,0
Netherlands,1900,Rowing,13,3,5,9,0,13,5,17,0,2,3,5,35,0,0
Netherlands,1900,Football,1,0,0,1,0,1,1,17,0,2,3,5,35,0,0
Netherlands,1900,Fencing,1,0,0,0,0,1,7,17,0,2,3,5,35,0,0
Netherlands,1900,Archery,6,0,0,0,0,6,7,17,0,2,3,5,35,0,0
Sweden,1900,Athletics,8,0,0,1,0,8,23,21,0,0,1,1,10,0,0
Sweden,1900,Fencing,1,0,0,0,0,1,7,21,0,0,1,1,10,0,0
Sweden,1900,Swimming,1,0,0,0,0,1,0,21,0,0,1,1,10,0,0
Greece,1900,Golf,1,0,0,0,0,1,2,0,0,0,0,0,3,0,0
Greece,1900,Athletics,2,0,0,0,0,2,23,0,0,0,0,0,3,0,0
Sweden,1900,Tug-Of-War,3,3,0,0,0,3,0,21,0,0,1,1,10,0,0
Hungary,1900,Fencing,6,0,0,0,0,6,7,11,1,2,2,5,18,0,0
Hungary,1900,Gymnastics,2,0,0,0,0,2,1,11,1,2,2,5,18,0,0
Hungary,1900,Swimming,1,0,2,1,0,1,0,11,1,2,2,5,18,0,0
Norway,1900,Athletics,2,0,0,1,0,2,23,17,0,2,3,5,7,0,0
Norway,1900,Shooting,5,0,6,2,0,5,8,17,0,2,3,5,7,0,0
France,1900,Golf,7,0,0,0,5,2,2,1,27,39,37,103,715,1,0
France,1900,Gymnastics,108,1,1,1,0,108,1,1,27,39,37,103,715,1,0
France,1900,Cycling,58,2,1,2,0,58,3,1,27,39,37,103,715,1,0
United States,1900,Polo,4,2,1,1,0,4,1,2,19,14,15,48,75,0,1
France,1900,Sailing,73,10,33,29,0,73,13,1,27,39,37,103,715,1,0
France,1900,Shooting,33,2,6,6,0,33,8,1,27,39,37,103,715,1,0
France,1900,Swimming,47,1,6,5,0,47,0,1,27,39,37,103,715,1,0
France,1900,Tennis,14,0,3,2,3,11,4,1,27,39,37,103,715,1,0
United States,1900,Rowing,9,9,0,0,0,9,5,2,19,14,15,48,75,0,1
France,1900,Rugby,15,15,0,0,0,15,1,1,27,39,37,103,715,1,0
United States,1900,Golf,9,2,1,1,5,4,2,2,19,14,15,48,75,0,1
France,1900,Water Polo,27,0,0,14,0,27,0,1,27,39,37,103,715,1,0
France,1900,Tug-Of-War,5,0,5,0,0,5,0,1,27,39,37,103,715,1,0
France,1900,Polo,7,0,1,3,0,7,1,1,27,39,37,103,715,1,0
France,1900,Rowing,41,6,7,3,0,41,5,1,27,39,37,103,715,1,0
United States,1900,Fencing,3,0,0,0,0,3,7,2,19,14,15,48,75,0,1
Canada,1904,Athletics,6,1,0,0,0,6,25,3,4,1,1,6,55,0,0
Canada,1904,Golf,2,1,0,0,0,2,2,3,4,1,1,6,55,0,0
Canada,1904,Lacrosse,24,12,0,12,0,24,1,3,4,1,1,6,55,0,0
Canada,1904,Rowing,9,0,9,0,0,9,5,3,4,1,1,6,55,0,0
Germany,1904,Athletics,2,0,0,1,0,2,25,2,4,5,6,15,22,0,0
Germany,1904,Diving,3,0,1,0,0,3,0,2,4,5,6,15,22,0,0
Austria,1904,Swimming,1,0,0,1,0,1,0,8,1,1,1,3,2,0,0
Austria,1904,Gymnastics,1,2,1,0,0,1,11,8,1,1,1,3,2,0,0
Canada,1904,Football,13,13,0,0,0,13,1,3,4,1,1,6,55,0,0
Switzerland,1904,Gymnastics,2,1,0,1,0,2,11,10,1,0,2,3,3,0,0
Germany,1904,Fencing,1,0,0,0,0,1,5,2,4,5,6,15,22,0,0
Norway,1904,Wrestling,2,2,0,0,0,2,7,7,2,0,0,2,3,0,0
Italy,1904,Cycling,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0
United Kingdom,1904,Golf,2,0,0,0,0,2,2,9,1,1,0,2,0,0,1
Norway,1904,Gymnastics,1,0,0,0,0,1,11,7,2,0,0,2,3,0,0
Hungary,1904,Swimming,2,2,1,1,0,2,0,5,2,1,1,4,4,0,0
Cuba,1904,Fencing,2,5,0,0,0,2,5,4,3,0,0,3,3,0,0
Cuba,1904,Athletics,1,0,0,0,0,1,25,4,3,0,0,3,3,0,0
Hungary,1904,Athletics,2,0,0,0,0,2,25,5,2,1,1,4,4,0,0
Germany,1904,Wrestling,3,0,1,0,0,3,7,2,4,5,6,15,22,0,0
Germany,1904,Weightlifting,1,0,0,2,0,1,2,2,4,5,6,15,22,0,0
Germany,1904,Tug-Of-War,1,0,0,1,0,1,0,2,4,5,6,15,22,0,0
Germany,1904,Tennis,1,0,0,0,0,1,2,2,4,5,6,15,22,0,0
Germany,1904,Swimming,4,4,2,2,0,4,0,2,4,5,6,15,22,0,0
Germany,1904,Gymnastics,9,0,1,1,0,9,11,2,4,5,6,15,22,0,0
Greece,1904,Athletics,10,0,0,1,0,10,25,11,1,0,1,2,14,0,0
Greece,1904,Tug-Of-War,5,0,0,0,0,5,0,11,1,0,1,2,14,0,0
Greece,1904,Weightlifting,1,1,0,0,0,1,2,11,1,0,1,2,14,0,0
Switzerland,1904,Wrestling,1,0,0,1,0,1,7,10,1,0,2,3,3,0,0
Canada,1904,Wrestling,1,0,0,0,0,1,7,3,4,1,1,6,55,0,0
United Kingdom,1904,Athletics,3,1,1,0,0,3,25,9,1,1,0,2,0,0,1
United States,1904,Archery,29,12,8,8,6,23,6,1,76,78,77,231,518,1,0
United States,1904,Fencing,7,2,7,4,0,7,5,1,76,78,77,231,518,1,0
United States,1904,Football,23,0,11,12,0,23,1,1,76,78,77,231,518,1,0
United States,1904,Golf,72,10,11,12,0,72,2,1,76,78,77,231,518,1,0
United States,1904,Gymnastics,107,16,13,15,0,107,11,1,76,78,77,231,518,1,0
United States,1904,Lacrosse,12,0,12,0,0,12,1,1,76,78,77,231,518,1,0
United States,1904,Roque,4,1,1,1,0,4,1,1,76,78,77,231,518,1,0
United States,1904,Rowing,35,18,9,9,0,35,5,1,76,78,77,231,518,1,0
France,1904,Athletics,1,0,2,0,0,1,25,13,0,1,0,1,1,0,0
United States,1904,Tennis,35,3,3,6,0,35,2,1,76,78,77,231,518,1,0
United States,1904,Tug-Of-War,19,5,5,4,0,19,0,1,76,78,77,231,518,1,0
United States,1904,Water Polo,21,7,7,7,0,21,0,1,76,78,77,231,518,1,0
United States,1904,Weightlifting,3,1,2,0,0,3,2,1,76,78,77,231,518,1,0
United States,1904,Wrestling,35,5,6,6,0,35,7,1,76,78,77,231,518,1,0
United States,1904,Swimming,24,7,7,8,0,24,0,1,76,78,77,231,518,1,0
United Kingdom,1904,Fencing,1,0,0,0,0,1,5,9,1,1,0,2,0,0,1
South Africa,1904,Athletics,3,0,0,0,0,3,25,0,0,0,0,0,8,0,0
South Africa,1904,Tug-Of-War,5,0,0,0,0,5,0,0,0,0,0,0,8,0,0
United States,1904,Boxing,18,7,7,4,0,18,7,1,76,78,77,231,518,1,0
Australia,1904,Swimming,1,0,3,1,0,1,0,12,0,3,1,4,2,0,0
Australia,1904,Athletics,1,0,0,0,0,1,25,12,0,3,1,4,2,0,0
United States,1904,Athletics,86,26,25,21,0,86,25,1,76,78,77,231,518,1,0
United States,1904,Diving,2,1,0,1,0,2,0,1,76,78,77,231,518,1,0
United States,1904,Cycling,17,7,7,7,0,17,7,1,76,78,77,231,518,1,0
Finland,1908,Diving,2,0,0,0,0,2,0,13,1,1,3,5,62,0,0
Italy,1908,Athletics,12,0,1,0,0,12,26,9,2,2,0,4,66,0,0
Italy,1908,Cycling,4,0,0,0,0,4,7,9,2,2,0,4,66,0,0
Italy,1908,Diving,1,0,0,0,0,1,0,9,2,2,0,4,66,0,0
Netherlands,1908,Rowing,4,0,0,4,0,4,4,17,0,0,2,2,113,0,0
Italy,1908,Gymnastics,32,1,0,0,0,32,2,9,2,2,0,4,66,0,0
Italy,1908,Rowing,1,0,0,0,0,1,4,9,2,2,0,4,66,0,0
Italy,1908,Swimming,4,0,0,0,0,4,0,9,2,2,0,4,66,0,0
Italy,1908,Wrestling,1,1,0,0,0,1,9,9,2,2,0,4,66,0,0
Finland,1908,Athletics,15,0,0,1,0,15,26,13,1,1,3,5,62,0,0
Netherlands,1908,Athletics,19,0,0,0,0,19,26,17,0,0,2,2,113,0,0
Italy,1908,Fencing,11,0,5,0,0,11,4,9,2,2,0,4,66,0,0
Finland,1908,Gymnastics,31,0,0,26,0,31,2,13,1,1,3,5,62,0,0
Finland,1908,Wrestling,4,1,1,1,0,4,9,13,1,1,3,5,62,0,0
Finland,1908,Swimming,3,0,0,0,0,3,0,13,1,1,3,5,62,0,0
Netherlands,1908,Gymnastics,23,0,0,0,0,23,2,17,0,0,2,2,113,0,0
Argentina,1908,Figure Skating,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Germany,1908,Cycling,9,0,4,1,0,9,7,5,3,5,5,13,82,0,0
Germany,1908,Athletics,20,0,4,1,0,20,26,5,3,5,5,13,82,0,0
Netherlands,1908,Cycling,5,0,0,0,0,5,7,17,0,0,2,2,113,0,0
Netherlands,1908,Fencing,13,0,0,0,0,13,4,17,0,0,2,2,113,0,0
Netherlands,1908,Football,12,0,0,12,0,12,1,17,0,0,2,2,113,0,0
Netherlands,1908,Water Polo,7,0,0,0,0,7,0,17,0,0,2,2,113,0,0
Netherlands,1908,Tennis,2,0,0,0,0,2,6,17,0,0,2,2,113,0,0
Netherlands,1908,Swimming,7,0,0,0,0,7,0,17,0,0,2,2,113,0,0
Netherlands,1908,Shooting,17,0,0,0,0,17,15,17,0,0,2,2,113,0,0
Finland,1908,Shooting,9,0,0,0,0,9,15,13,1,1,3,5,62,0,0
Netherlands,1908,Wrestling,9,0,0,0,0,9,9,17,0,0,2,2,113,0,0
France,1908,Swimming,4,0,0,0,0,4,0,4,5,5,9,19,208,0,0
Sweden,1908,Cycling,2,0,0,0,0,2,7,3,8,6,11,25,164,0,1
South Africa,1908,Cycling,4,0,0,0,0,4,7,14,1,1,0,2,14,0,0
South Africa,1908,Fencing,1,0,0,0,0,1,4,14,1,1,0,2,14,0,0
Russia,1908,Wrestling,4,0,2,0,0,4,9,0,0,0,0,0,6,0,0
United States,1908,Wrestling,6,2,0,0,0,6,9,2,23,12,12,47,119,0,0
United States,1908,Tug-Of-War,8,0,0,0,0,8,0,2,23,12,12,47,119,0,0
United States,1908,Swimming,8,1,0,4,0,8,0,2,23,12,12,47,119,0,0
South Africa,1908,Tennis,3,0,0,0,0,3,6,14,1,1,0,2,14,0,0
United States,1908,Shooting,17,11,2,1,0,17,15,2,23,12,12,47,119,0,0
United States,1908,Jeu De Paume,2,1,0,0,0,2,0,2,23,12,12,47,119,0,0
United States,1908,Figure Skating,1,0,0,0,0,1,0,2,23,12,12,47,119,0,0
United States,1908,Diving,2,0,0,1,0,2,0,2,23,12,12,47,119,0,0
United States,1908,Cycling,2,0,0,0,0,2,7,2,23,12,12,47,119,0,0
United States,1908,Athletics,83,19,14,8,0,83,26,2,23,12,12,47,119,0,0
United States,1908,Archery,1,0,0,1,0,1,3,2,23,12,12,47,119,0,0
South Africa,1908,Athletics,6,1,1,0,0,6,26,14,1,1,0,2,14,0,0
Germany,1908,Diving,5,1,1,1,0,5,0,5,3,5,5,13,82,0,0
France,1908,Athletics,19,0,1,5,0,19,26,4,5,5,9,19,208,0,0
Austria,1908,Tennis,3,0,0,0,0,3,6,19,0,0,1,1,7,0,0
Austria,1908,Swimming,1,0,0,1,0,1,0,19,0,0,1,1,7,0,0
Austria,1908,Fencing,1,0,0,0,0,1,4,19,0,0,1,1,7,0,0
Austria,1908,Athletics,2,0,0,0,0,2,26,19,0,0,1,1,7,0,0
France,1908,Boxing,7,0,0,0,0,7,5,4,5,5,9,19,208,0,0
France,1908,Cycling,23,2,2,2,0,23,7,4,5,5,9,19,208,0,0
France,1908,Fencing,22,8,1,1,0,22,4,4,5,5,9,19,208,0,0
France,1908,Football,22,0,0,0,0,22,1,4,5,5,9,19,208,0,0
France,1908,Gymnastics,59,0,0,1,0,59,2,4,5,5,9,19,208,0,0
France,1908,Hockey,12,0,0,0,0,12,0,4,5,5,9,19,208,0,0
France,1908,Motorboating,1,1,0,0,0,1,0,4,5,5,9,19,208,0,0
France,1908,Sailing,3,0,0,3,0,3,4,4,5,5,9,19,208,0,0
France,1908,Shooting,20,0,0,10,0,20,15,4,5,5,9,19,208,0,0
France,1908,Archery,15,1,1,1,0,15,3,4,5,5,9,19,208,0,0
Iceland,1908,Wrestling,1,0,0,0,0,1,9,0,0,0,0,0,1,0,0
Canada,1908,Fencing,1,0,0,0,0,1,4,7,3,3,10,16,87,0,0
Belgium,1908,Wrestling,4,0,0,0,0,4,9,10,1,5,2,8,70,0,0
Sweden,1908,Diving,10,1,1,1,0,10,0,3,8,6,11,25,164,0,1
Sweden,1908,Fencing,7,0,0,0,0,7,4,3,8,6,11,25,164,0,1
Sweden,1908,Figure Skating,4,1,1,1,1,3,0,3,8,6,11,25,164,0,1
Sweden,1908,Football,14,0,0,0,0,14,1,3,8,6,11,25,164,0,1
Sweden,1908,Gymnastics,37,38,0,0,0,37,2,3,8,6,11,25,164,0,1
Sweden,1908,Sailing,13,0,5,0,0,13,4,3,8,6,11,25,164,0,1
Sweden,1908,Shooting,18,5,10,1,0,18,15,3,8,6,11,25,164,0,1
Sweden,1908,Swimming,12,0,0,2,0,12,0,3,8,6,11,25,164,0,1
Sweden,1908,Tennis,4,0,0,3,2,2,6,3,8,6,11,25,164,0,1
Sweden,1908,Tug-Of-War,8,0,0,0,0,8,0,3,8,6,11,25,164,0,1
Sweden,1908,Water Polo,7,0,0,7,0,7,0,3,8,6,11,25,164,0,1
Sweden,1908,Wrestling,9,1,1,0,0,9,9,3,8,6,11,25,164,0,1
Hungary,1908,Wrestling,7,1,0,0,0,7,9,6,3,4,2,9,65,0,0
Hungary,1908,Tennis,3,0,0,0,0,3,6,6,3,4,2,9,65,0,0
Hungary,1908,Swimming,10,0,5,0,0,10,0,6,3,4,2,9,65,0,0
Hungary,1908,Shooting,2,0,0,0,0,2,15,6,3,4,2,9,65,0,0
Hungary,1908,Rowing,11,0,0,1,0,11,4,6,3,4,2,9,65,0,0
Belgium,1908,Water Polo,7,0,7,0,0,7,0,10,1,5,2,8,70,0,0
Belgium,1908,Swimming,7,0,0,0,0,7,0,10,1,5,2,8,70,0,0
Belgium,1908,Shooting,10,1,5,0,0,10,15,10,1,5,2,8,70,0,0
Belgium,1908,Sailing,3,0,3,0,0,3,4,10,1,5,2,8,70,0,0
Belgium,1908,Rowing,10,0,9,0,0,10,4,10,1,5,2,8,70,0,0
Belgium,1908,Gymnastics,2,0,0,0,0,2,2,10,1,5,2,8,70,0,0
Sweden,1908,Athletics,31,2,0,3,0,31,26,3,8,6,11,25,164,0,1
Belgium,1908,Fencing,18,0,0,7,0,18,4,10,1,5,2,8,70,0,0
